episode,step,total,reward
0,30,30,0.0
1,70,100,1.0
2,26,126,0.0
3,26,152,0.0
4,25,177,0.0
5,32,209,0.0
6,24,233,0.0
7,29,262,0.0
8,25,287,0.0
9,24,311,0.0
10,26,337,0.0
11,56,393,1.0
12,30,423,0.0
13,74,497,1.0
14,32,529,0.0
15,30,559,0.0
16,27,586,0.0
17,26,612,0.0
18,53,665,1.0
19,25,690,0.0
20,61,751,1.0
21,71,822,1.0
22,27,849,0.0
23,25,874,0.0
24,33,907,0.0
25,27,934,0.0
26,28,962,0.0
27,27,989,0.0
28,53,1042,1.0
29,25,1067,0.0
30,39,1106,0.0
31,27,1133,0.0
32,29,1162,0.0
33,24,1186,0.0
34,31,1217,0.0
35,71,1288,1.0
36,36,1324,0.0
37,24,1348,0.0
38,36,1384,0.0
39,27,1411,0.0
40,31,1442,0.0
41,53,1495,1.0
42,27,1522,0.0
43,99,1621,2.0
44,26,1647,0.0
45,27,1674,0.0
46,105,1779,2.0
47,24,1803,0.0
48,40,1843,0.0
49,26,1869,0.0
50,27,1896,0.0
51,24,1920,0.0
52,24,1944,0.0
53,32,1976,0.0
54,53,2029,1.0
55,25,2054,0.0
56,25,2079,0.0
57,24,2103,0.0
58,26,2129,0.0
59,25,2154,0.0
60,25,2179,0.0
61,30,2209,0.0
62,62,2271,1.0
63,25,2296,0.0
64,101,2397,2.0
65,25,2422,0.0
66,25,2447,0.0
67,60,2507,1.0
68,25,2532,0.0
69,27,2559,0.0
